patch_id,travel_time,RM_count,RM_per_NP,reaction_time,harvest_time,mouse_id,patch_size,source_file,parsed_date,NP_count
0,2,8,8,3,681,Mouse2,small,corrected_patch_summary_M2_Day 2_10.7.25.csv,2025-07-10,NA
1,2,12,12,26,538,Mouse2,large,corrected_patch_summary_M2_Day 2_10.7.25.csv,2025-07-10,NA
2,10,9,9,42,883,Mouse2,small,corrected_patch_summary_M2_Day 2_10.7.25.csv,2025-07-10,NA
3,2,20,20,3,760,Mouse2,large,corrected_patch_summary_M2_Day 2_10.7.25.csv,2025-07-10,NA
4,10,13,13,20,913,Mouse2,large,corrected_patch_summary_M2_Day 2_10.7.25.csv,2025-07-10,NA
5,10,8,8,13,468,Mouse2,small,corrected_patch_summary_M2_Day 2_10.7.25.csv,2025-07-10,NA
6,10,11,11,28,635,Mouse2,large,corrected_patch_summary_M2_Day 2_10.7.25.csv,2025-07-10,NA
7,2,20,20,3,1709,Mouse2,large,corrected_patch_summary_M2_Day 2_10.7.25.csv,2025-07-10,NA
8,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 2_10.7.25.csv,2025-07-10,NA
9,12,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 2_10.7.25.csv,2025-07-10,NA
10,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 2_10.7.25.csv,2025-07-10,NA
11,11,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 2_10.7.25.csv,2025-07-10,NA
12,2,20,20,10,1867,Mouse2,large,corrected_patch_summary_M2_Day 2_10.7.25.csv,2025-07-10,NA
13,2,7,7,3,369,Mouse2,small,corrected_patch_summary_M2_Day 2_10.7.25.csv,2025-07-10,NA
0,2,8,8,7,473,Mouse2,small,corrected_patch_summary_M2_Day 3_11.7.25.csv,2025-07-11,1
1,2,8,8,3,498,Mouse2,small,corrected_patch_summary_M2_Day 3_11.7.25.csv,2025-07-11,1
2,10,11,11,22,543,Mouse2,large,corrected_patch_summary_M2_Day 3_11.7.25.csv,2025-07-11,1
3,10,13,13,18,471,Mouse2,large,corrected_patch_summary_M2_Day 3_11.7.25.csv,2025-07-11,1
4,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 3_11.7.25.csv,2025-07-11,1
5,10,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 3_11.7.25.csv,2025-07-11,1
6,2,1,1,5,0,Mouse2,small,corrected_patch_summary_M2_Day 3_11.7.25.csv,2025-07-11,1
7,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 3_11.7.25.csv,2025-07-11,1
8,2,1,1,100,0,Mouse2,small,corrected_patch_summary_M2_Day 3_11.7.25.csv,2025-07-11,1
9,2,39,39,4,1823,Mouse2,large,corrected_patch_summary_M2_Day 3_11.7.25.csv,2025-07-11,1
10,2,13,13,4,1489,Mouse2,large,corrected_patch_summary_M2_Day 3_11.7.25.csv,2025-07-11,1
11,2,3,3,5,59,Mouse2,small,corrected_patch_summary_M2_Day 3_11.7.25.csv,2025-07-11,1
12,2,14,14,11,997,Mouse2,large,corrected_patch_summary_M2_Day 3_11.7.25.csv,2025-07-11,1
13,10,12,12,53,791,Mouse2,large,corrected_patch_summary_M2_Day 3_11.7.25.csv,2025-07-11,1
0,2,5,5,9,200,Mouse2,small,corrected_patch_summary_M2_Day 4_14.7.25.csv,2025-07-14,1
1,2,19,19,3,646,Mouse2,large,corrected_patch_summary_M2_Day 4_14.7.25.csv,2025-07-14,1
2,10,15,15,13,528,Mouse2,large,corrected_patch_summary_M2_Day 4_14.7.25.csv,2025-07-14,1
3,10,2,2,12,31,Mouse2,small,corrected_patch_summary_M2_Day 4_14.7.25.csv,2025-07-14,1
4,10,9,9,10,489,Mouse2,small,corrected_patch_summary_M2_Day 4_14.7.25.csv,2025-07-14,1
5,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 4_14.7.25.csv,2025-07-14,1
6,2,20,20,2,716,Mouse2,large,corrected_patch_summary_M2_Day 4_14.7.25.csv,2025-07-14,1
7,10,13,13,14,390,Mouse2,large,corrected_patch_summary_M2_Day 4_14.7.25.csv,2025-07-14,1
8,10,7,7,13,412,Mouse2,small,corrected_patch_summary_M2_Day 4_14.7.25.csv,2025-07-14,1
9,2,13,13,18,418,Mouse2,large,corrected_patch_summary_M2_Day 4_14.7.25.csv,2025-07-14,1
10,2,14,14,10,430,Mouse2,large,corrected_patch_summary_M2_Day 4_14.7.25.csv,2025-07-14,1
11,10,5,5,11,49,Mouse2,small,corrected_patch_summary_M2_Day 4_14.7.25.csv,2025-07-14,1
12,10,13,13,11,970,Mouse2,large,corrected_patch_summary_M2_Day 4_14.7.25.csv,2025-07-14,1
13,2,10,10,4,591,Mouse2,large,corrected_patch_summary_M2_Day 4_14.7.25.csv,2025-07-14,1
14,10,20,20,38,1274,Mouse2,large,corrected_patch_summary_M2_Day 4_14.7.25.csv,2025-07-14,1
15,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 4_14.7.25.csv,2025-07-14,1
16,2,20,20,47,3014,Mouse2,large,corrected_patch_summary_M2_Day 4_14.7.25.csv,2025-07-14,1
17,2,11,11,10,1343,Mouse2,large,corrected_patch_summary_M2_Day 4_14.7.25.csv,2025-07-14,1
0,2,8,8,9,355,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
1,2,5,5,3,155,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
2,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
3,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
4,2,5,5,24,151,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
5,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
6,10,3,3,17,35,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
7,10,7,7,10,257,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
8,10,1,1,25,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
9,10,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
10,10,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
11,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
12,10,1,1,13,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
13,10,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
14,10,4,4,29,114,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
15,10,9,9,12,221,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
16,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
17,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
18,2,1,1,5,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
19,2,1,1,35,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
20,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
21,2,19,19,26,431,Mouse2,large,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
22,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
23,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
24,2,14,14,3,393,Mouse2,large,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
25,10,9,9,30,166,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
26,10,3,3,29,97,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
27,10,12,12,17,426,Mouse2,large,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
28,2,15,15,23,563,Mouse2,large,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
29,10,9,9,13,178,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
30,10,16,16,11,609,Mouse2,large,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
31,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
32,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
33,2,7,7,3,546,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
34,2,1,1,8,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
35,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
36,2,4,4,39,137,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
37,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
38,10,9,9,10,395,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
39,10,11,11,24,685,Mouse2,large,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
40,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
41,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
42,2,9,9,4,616,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
43,10,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
44,10,1,1,172,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
45,10,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
46,10,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
47,10,13,13,13,953,Mouse2,large,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
48,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
49,2,4,4,31,223,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
50,10,8,8,13,772,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
51,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
52,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
53,2,4,4,11,396,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
54,2,1,1,82,0,Mouse2,small,corrected_patch_summary_M2_Day 5_15.7.25.csv,2025-07-15,1
0,2,8,8,5,420,Mouse2,small,corrected_patch_summary_M2_Day 6_16.7.25.csv,2025-07-16,1
1,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 6_16.7.25.csv,2025-07-16,1
2,2,13,13,38,692,Mouse2,large,corrected_patch_summary_M2_Day 6_16.7.25.csv,2025-07-16,1
3,10,14,14,10,521,Mouse2,large,corrected_patch_summary_M2_Day 6_16.7.25.csv,2025-07-16,1
4,10,2,2,20,46,Mouse2,small,corrected_patch_summary_M2_Day 6_16.7.25.csv,2025-07-16,1
5,2,17,17,8,567,Mouse2,large,corrected_patch_summary_M2_Day 6_16.7.25.csv,2025-07-16,1
6,2,2,2,3,5,Mouse2,small,corrected_patch_summary_M2_Day 6_16.7.25.csv,2025-07-16,1
7,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 6_16.7.25.csv,2025-07-16,1
8,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 6_16.7.25.csv,2025-07-16,1
9,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 6_16.7.25.csv,2025-07-16,1
10,2,0,0,NA,0,Mouse2,small,corrected_patch_summary_M2_Day 6_16.7.25.csv,2025-07-16,1
