patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time
0,2,8,1,8,5,420
1,2,0,1,0,NA,0
2,2,13,1,13,38,692
3,10,14,1,14,10,521
4,10,2,1,2,20,46
5,2,17,1,17,8,567
6,2,2,1,2,3,5
7,2,0,1,0,NA,0
8,2,0,1,0,NA,0
9,2,0,1,0,NA,0
10,2,0,1,0,NA,0
11,2,0,1,0,NA,0
12,2,4,1,4,4,204
13,10,10,1,10,108,496
14,10,2,1,2,87,14
15,2,9,1,9,5,442
16,2,5,1,5,2,464
17,10,8,1,8,10,269
18,10,10,1,10,10,651
19,2,12,1,12,5,622
20,10,17,1,17,12,718
21,10,4,1,4,14,131
22,2,0,1,0,NA,0
23,2,0,1,0,NA,0
24,2,0,1,0,NA,0
25,2,4,1,4,4,151
