patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,mouse_id,patch_size,source_file,parsed_date
0,2,0,1,0,NA,0,Mouse1,small,corrected_patch_summary_M1_Day 2_10.7.25.csv,2025-07-10
1,2,3,1,3,3,22,Mouse1,small,corrected_patch_summary_M1_Day 2_10.7.25.csv,2025-07-10
2,2,15,1,15,39,516,Mouse1,large,corrected_patch_summary_M1_Day 2_10.7.25.csv,2025-07-10
3,2,8,1,8,29,625,Mouse1,small,corrected_patch_summary_M1_Day 2_10.7.25.csv,2025-07-10
4,10,8,1,8,16,663,Mouse1,small,corrected_patch_summary_M1_Day 2_10.7.25.csv,2025-07-10
5,2,0,1,0,NA,0,Mouse1,small,corrected_patch_summary_M1_Day 2_10.7.25.csv,2025-07-10
6,2,7,1,7,12,607,Mouse1,small,corrected_patch_summary_M1_Day 2_10.7.25.csv,2025-07-10
7,10,4,1,4,42,842,Mouse1,small,corrected_patch_summary_M1_Day 2_10.7.25.csv,2025-07-10
8,2,0,1,0,NA,0,Mouse1,small,corrected_patch_summary_M1_Day 2_10.7.25.csv,2025-07-10
9,2,3,1,3,199,305,Mouse1,small,corrected_patch_summary_M1_Day 2_10.7.25.csv,2025-07-10
10,10,0,1,0,NA,0,Mouse1,small,corrected_patch_summary_M1_Day 2_10.7.25.csv,2025-07-10
11,10,6,1,6,58,2220,Mouse1,small,corrected_patch_summary_M1_Day 2_10.7.25.csv,2025-07-10
0,2,8,NA,8,4,222,Mouse1,small,corrected_patch_summary_M1_Day 3_11.7.25.csv,2025-07-11
1,2,19,NA,19,13,745,Mouse1,large,corrected_patch_summary_M1_Day 3_11.7.25.csv,2025-07-11
2,10,7,NA,7,17,436,Mouse1,small,corrected_patch_summary_M1_Day 3_11.7.25.csv,2025-07-11
3,10,1,NA,1,29,0,Mouse1,small,corrected_patch_summary_M1_Day 3_11.7.25.csv,2025-07-11
4,10,5,NA,5,50,409,Mouse1,small,corrected_patch_summary_M1_Day 3_11.7.25.csv,2025-07-11
5,2,9,NA,9,19,1052,Mouse1,small,corrected_patch_summary_M1_Day 3_11.7.25.csv,2025-07-11
6,2,0,NA,0,NA,0,Mouse1,small,corrected_patch_summary_M1_Day 3_11.7.25.csv,2025-07-11
7,2,0,NA,0,NA,0,Mouse1,small,corrected_patch_summary_M1_Day 3_11.7.25.csv,2025-07-11
8,2,3,NA,3,1401,292,Mouse1,small,corrected_patch_summary_M1_Day 3_11.7.25.csv,2025-07-11
9,2,4,NA,4,15,273,Mouse1,small,corrected_patch_summary_M1_Day 3_11.7.25.csv,2025-07-11
10,10,4,NA,4,174,713,Mouse1,small,corrected_patch_summary_M1_Day 3_11.7.25.csv,2025-07-11
0,2,4,1,4,5,31,Mouse1,small,corrected_patch_summary_M1_Day 4_14.7.25.csv,2025-07-14
1,2,16,1,16,18,488,Mouse1,large,corrected_patch_summary_M1_Day 4_14.7.25.csv,2025-07-14
