patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day,mouse_id,harvest_type
0,4,18,1,18,6.0,224,Day1,Mouse1,large
1,4,10,1,10,9.0,174,Day1,Mouse1,large
2,4,20,1,20,8.0,533,Day1,Mouse1,large
3,8,15,1,15,18.0,253,Day1,Mouse1,large
4,8,20,1,20,29.0,381,Day1,Mouse1,large
5,4,14,1,14,9.0,946,Day1,Mouse1,large
6,8,14,1,14,23.0,736,Day1,Mouse1,large
7,8,20,1,20,78.0,938,Day1,Mouse1,large
8,8,3,1,3,22.0,111,Day1,Mouse1,small
0,4,2,1,2,6.0,180,Day2,Mouse1,small
1,3,2,1,2,44.0,50,Day2,Mouse1,small
2,4,3,1,3,57.0,157,Day2,Mouse1,small
3,4,0,1,0,,0,Day2,Mouse1,small
4,8,6,1,6,8.0,289,Day2,Mouse1,small
5,8,1,1,1,23.0,0,Day2,Mouse1,small
6,8,4,1,4,24.0,275,Day2,Mouse1,small
7,8,1,1,1,21.0,0,Day2,Mouse1,small
8,4,5,1,5,43.0,294,Day2,Mouse1,small
9,4,3,1,3,74.0,146,Day2,Mouse1,small
10,4,4,1,4,5.0,210,Day2,Mouse1,small
11,8,4,1,4,24.0,219,Day2,Mouse1,small
12,8,10,1,10,15.0,602,Day2,Mouse1,large
13,4,9,1,9,20.0,530,Day2,Mouse1,small
14,5,2,1,2,163.0,50,Day2,Mouse1,small
15,7,14,1,14,15.0,1068,Day2,Mouse1,large
16,4,7,1,7,6.0,555,Day2,Mouse1,small
17,8,1,1,1,62.0,0,Day2,Mouse1,small
18,8,0,1,0,,0,Day2,Mouse1,small
19,8,0,1,0,,0,Day2,Mouse1,small
20,8,2,1,2,31.0,47,Day2,Mouse1,small
21,8,1,1,1,13.0,0,Day2,Mouse1,small
22,4,7,1,7,94.0,733,Day2,Mouse1,small
23,8,4,1,4,11.0,107,Day2,Mouse1,small
24,8,19,1,19,55.0,1612,Day2,Mouse1,large
25,8,11,1,11,18.0,863,Day2,Mouse1,large
26,4,4,1,4,24.0,391,Day2,Mouse1,small
0,4,13,1,13,14.0,230,Day4,Mouse1,large
1,4,4,1,4,7.0,110,Day4,Mouse1,small
2,5,3,1,3,48.0,155,Day4,Mouse1,small
3,4,3,1,3,21.0,88,Day4,Mouse1,small
4,3,4,1,4,4.0,128,Day4,Mouse1,small
5,8,0,1,0,,0,Day4,Mouse1,small
6,8,3,1,3,13.0,48,Day4,Mouse1,small
7,8,4,1,4,67.0,66,Day4,Mouse1,small
8,8,3,1,3,10.0,47,Day4,Mouse1,small
9,8,1,1,1,12.0,0,Day4,Mouse1,small
10,8,7,1,7,16.0,181,Day4,Mouse1,small
11,8,3,1,3,16.0,48,Day4,Mouse1,small
12,8,2,1,2,12.0,41,Day4,Mouse1,small
13,4,9,1,9,20.0,252,Day4,Mouse1,small
14,4,1,1,1,27.0,0,Day4,Mouse1,small
15,4,2,1,2,95.0,113,Day4,Mouse1,small
16,4,1,1,1,15.0,0,Day4,Mouse1,small
17,4,12,1,12,6.0,450,Day4,Mouse1,large
18,8,1,1,1,10.0,0,Day4,Mouse1,small
19,8,7,1,7,10.0,325,Day4,Mouse1,small
20,8,2,1,2,89.0,128,Day4,Mouse1,small
21,4,6,1,6,26.0,217,Day4,Mouse1,small
22,4,5,1,5,16.0,196,Day4,Mouse1,small
23,4,1,1,1,21.0,0,Day4,Mouse1,small
24,8,1,1,1,15.0,0,Day4,Mouse1,small
25,8,11,1,11,74.0,240,Day4,Mouse1,large
26,8,9,1,9,25.0,326,Day4,Mouse1,small
27,8,4,1,4,26.0,97,Day4,Mouse1,small
28,4,11,1,11,145.0,611,Day4,Mouse1,large
29,8,10,1,10,534.0,717,Day4,Mouse1,large
0,4,2,1,2,18.0,20,Day5,Mouse1,small
1,4,20,1,20,21.0,729,Day5,Mouse1,large
2,8,4,1,4,9.0,175,Day5,Mouse1,small
3,8,11,1,11,23.0,472,Day5,Mouse1,large
4,8,6,1,6,11.0,389,Day5,Mouse1,small
5,4,0,1,0,,0,Day5,Mouse1,small
6,3,0,1,0,,0,Day5,Mouse1,small
7,4,13,1,13,6.0,488,Day5,Mouse1,large
8,4,0,1,0,9.0,0,Day5,Mouse1,small
9,4,15,1,15,10.0,635,Day5,Mouse1,large
10,8,20,1,20,16.0,1207,Day5,Mouse1,large
11,8,10,1,10,11.0,1228,Day5,Mouse1,large
12,4,11,1,11,18.0,1091,Day5,Mouse1,large
13,8,1,1,1,16.0,0,Day5,Mouse1,small
14,4,6,1,6,16.0,633,Day5,Mouse1,small
15,8,0,1,0,,0,Day5,Mouse1,small
16,8,10,1,10,28.0,614,Day5,Mouse1,large
