patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day,mouse_id,patch_size,source_file,parsed_date
0,4,18,1,18,6,224,Day2 (10.6.25),Mouse1,large,corrected_patch_summary_Mouse1_Day1_10.6.25.csv,2025-06-10
1,4,10,1,10,9,174,Day2 (10.6.25),Mouse1,large,corrected_patch_summary_Mouse1_Day1_10.6.25.csv,2025-06-10
2,4,20,1,20,8,533,Day2 (10.6.25),Mouse1,large,corrected_patch_summary_Mouse1_Day1_10.6.25.csv,2025-06-10
3,8,15,1,15,18,253,Day2 (10.6.25),Mouse1,large,corrected_patch_summary_Mouse1_Day1_10.6.25.csv,2025-06-10
4,8,20,1,20,29,381,Day2 (10.6.25),Mouse1,large,corrected_patch_summary_Mouse1_Day1_10.6.25.csv,2025-06-10
5,4,14,1,14,9,946,Day2 (10.6.25),Mouse1,large,corrected_patch_summary_Mouse1_Day1_10.6.25.csv,2025-06-10
6,8,14,1,14,23,736,Day2 (10.6.25),Mouse1,large,corrected_patch_summary_Mouse1_Day1_10.6.25.csv,2025-06-10
7,8,20,1,20,78,938,Day2 (10.6.25),Mouse1,large,corrected_patch_summary_Mouse1_Day1_10.6.25.csv,2025-06-10
8,8,3,1,3,22,111,Day2 (10.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day1_10.6.25.csv,2025-06-10
0,4,2,1,2,6,180,Day3 (11.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_11.6.25.csv,2025-06-11
1,3,2,1,2,44,50,Day3 (11.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_11.6.25.csv,2025-06-11
2,4,3,1,3,57,157,Day3 (11.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_11.6.25.csv,2025-06-11
3,4,0,1,0,NA,0,Day3 (11.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_11.6.25.csv,2025-06-11
4,8,6,1,6,8,289,Day3 (11.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_11.6.25.csv,2025-06-11
5,8,1,1,1,23,0,Day3 (11.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_11.6.25.csv,2025-06-11
6,8,4,1,4,24,275,Day3 (11.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_11.6.25.csv,2025-06-11
7,8,1,1,1,21,0,Day3 (11.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_11.6.25.csv,2025-06-11
8,4,5,1,5,43,294,Day3 (11.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_11.6.25.csv,2025-06-11
9,4,3,1,3,74,146,Day3 (11.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_11.6.25.csv,2025-06-11
10,4,4,1,4,5,210,Day3 (11.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_11.6.25.csv,2025-06-11
11,8,4,1,4,24,219,Day3 (11.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_11.6.25.csv,2025-06-11
12,8,10,1,10,15,602,Day3 (11.6.25),Mouse1,large,corrected_patch_summary_Mouse1_Day2_11.6.25.csv,2025-06-11
13,4,9,1,9,20,530,Day3 (11.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_11.6.25.csv,2025-06-11
14,5,2,1,2,163,50,Day3 (11.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_11.6.25.csv,2025-06-11
15,7,14,1,14,15,1068,Day3 (11.6.25),Mouse1,large,corrected_patch_summary_Mouse1_Day2_11.6.25.csv,2025-06-11
16,4,7,1,7,6,555,Day3 (11.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_11.6.25.csv,2025-06-11
17,8,1,1,1,62,0,Day3 (11.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_11.6.25.csv,2025-06-11
18,8,0,1,0,NA,0,Day3 (11.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_11.6.25.csv,2025-06-11
19,8,0,1,0,NA,0,Day3 (11.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_11.6.25.csv,2025-06-11
20,8,2,1,2,31,47,Day3 (11.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_11.6.25.csv,2025-06-11
21,8,1,1,1,13,0,Day3 (11.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_11.6.25.csv,2025-06-11
