patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day
0,4,2,1,2,9,7,Week22_Day6 (17.6.25)
1,4,4,1,4,13,180,Week22_Day6 (17.6.25)
2,4,0,1,0,NA,0,Week22_Day6 (17.6.25)
3,4,10,1,10,6,414,Week22_Day6 (17.6.25)
4,4,0,1,0,NA,0,Week22_Day6 (17.6.25)
5,4,0,1,0,NA,0,Week22_Day6 (17.6.25)
6,4,0,1,0,NA,0,Week22_Day6 (17.6.25)
7,4,5,1,5,4,234,Week22_Day6 (17.6.25)
8,8,4,1,4,13,70,Week22_Day6 (17.6.25)
9,8,3,1,3,9,40,Week22_Day6 (17.6.25)
10,8,0,1,0,NA,0,Week22_Day6 (17.6.25)
11,8,1,1,1,57,0,Week22_Day6 (17.6.25)
12,8,3,1,3,80,115,Week22_Day6 (17.6.25)
13,8,4,1,4,58,324,Week22_Day6 (17.6.25)
14,4,8,1,8,5,245,Week22_Day6 (17.6.25)
15,4,0,1,0,NA,0,Week22_Day6 (17.6.25)
16,4,0,1,0,NA,0,Week22_Day6 (17.6.25)
17,9,0,1,0,NA,0,Week22_Day6 (17.6.25)
18,4,2,1,2,7,56,Week22_Day6 (17.6.25)
19,4,8,1,8,11,379,Week22_Day6 (17.6.25)
20,8,4,1,4,8,202,Week22_Day6 (17.6.25)
21,8,0,1,0,NA,0,Week22_Day6 (17.6.25)
22,8,9,1,9,9,532,Week22_Day6 (17.6.25)
23,4,4,1,4,12,140,Week22_Day6 (17.6.25)
24,4,18,1,18,15,1652,Week22_Day6 (17.6.25)
25,4,9,1,9,15,999,Week22_Day6 (17.6.25)
26,8,8,1,8,27,1711,Week22_Day6 (17.6.25)
27,8,9,1,9,27,2291,Week22_Day6 (17.6.25)
28,4,4,1,4,9,260,Week22_Day6 (17.6.25)
29,4,6,1,6,6,1317,Week22_Day6 (17.6.25)
