patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day
0,4,1,1,1,6,0,M2_Week23_Day1 (23.6.25)
1,4,14,1,14,9,578,M2_Week23_Day1 (23.6.25)
2,4,6,1,6,5,481,M2_Week23_Day1 (23.6.25)
3,8,2,1,2,9,132,M2_Week23_Day1 (23.6.25)
4,8,2,1,2,14,111,M2_Week23_Day1 (23.6.25)
5,8,5,1,5,9,191,M2_Week23_Day1 (23.6.25)
6,4,7,1,7,7,372,M2_Week23_Day1 (23.6.25)
7,4,1,1,1,6,0,M2_Week23_Day1 (23.6.25)
8,4,0,1,0,NA,0,M2_Week23_Day1 (23.6.25)
9,4,1,1,1,9,0,M2_Week23_Day1 (23.6.25)
10,4,14,1,14,6,512,M2_Week23_Day1 (23.6.25)
11,8,3,1,3,13,158,M2_Week23_Day1 (23.6.25)
12,8,1,1,1,9,0,M2_Week23_Day1 (23.6.25)
13,8,1,1,1,8,0,M2_Week23_Day1 (23.6.25)
14,8,2,1,2,8,90,M2_Week23_Day1 (23.6.25)
15,4,3,1,3,68,10,M2_Week23_Day1 (23.6.25)
16,4,7,1,7,6,500,M2_Week23_Day1 (23.6.25)
17,4,11,1,11,23,791,M2_Week23_Day1 (23.6.25)
18,8,0,1,0,NA,0,M2_Week23_Day1 (23.6.25)
19,8,20,1,20,37,1998,M2_Week23_Day1 (23.6.25)
20,4,8,1,8,5,1852,M2_Week23_Day1 (23.6.25)
21,4,14,1,14,5,694,M2_Week23_Day1 (23.6.25)
