patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day
0,4,18,1,18,5,689,Day5 (16.6.25)
1,4,0,1,0,NA,0,Day5 (16.6.25)
2,4,1,1,1,9,0,Day5 (16.6.25)
3,4,10,1,10,35,140,Day5 (16.6.25)
4,8,4,1,4,30,197,Day5 (16.6.25)
5,8,18,1,18,8,566,Day5 (16.6.25)
6,4,5,1,5,5,100,Day5 (16.6.25)
7,4,2,1,2,12,11,Day5 (16.6.25)
8,4,4,1,4,48,218,Day5 (16.6.25)
9,4,0,1,0,NA,0,Day5 (16.6.25)
10,4,4,1,4,31,207,Day5 (16.6.25)
11,8,7,1,7,11,70,Day5 (16.6.25)
12,8,0,1,0,NA,0,Day5 (16.6.25)
13,8,1,1,1,20,0,Day5 (16.6.25)
14,8,0,1,0,NA,0,Day5 (16.6.25)
15,8,3,1,3,15,77,Day5 (16.6.25)
16,8,10,1,10,9,323,Day5 (16.6.25)
17,8,11,1,11,11,170,Day5 (16.6.25)
18,4,0,1,0,NA,0,Day5 (16.6.25)
19,4,2,1,2,4,6,Day5 (16.6.25)
20,4,2,1,2,43,4,Day5 (16.6.25)
21,5,3,1,3,49,35,Day5 (16.6.25)
22,4,2,1,2,6,7,Day5 (16.6.25)
23,4,5,1,5,7,123,Day5 (16.6.25)
24,4,10,1,10,5,444,Day5 (16.6.25)
25,8,6,1,6,9,88,Day5 (16.6.25)
26,8,10,1,10,12,746,Day5 (16.6.25)
27,4,5,1,5,6,341,Day5 (16.6.25)
