patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day,mouse_id,patch_size,source_file,parsed_date
0,4,12,1,12,8,302,Day4 (12.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day4__12_6_25_.csv,2025-06-12
1,4,13,1,13,6,318,Day4 (12.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day4__12_6_25_.csv,2025-06-12
2,4,3,1,3,5,31,Day4 (12.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day4__12_6_25_.csv,2025-06-12
3,4,1,1,1,8,0,Day4 (12.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day4__12_6_25_.csv,2025-06-12
4,4,2,1,2,60,65,Day4 (12.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day4__12_6_25_.csv,2025-06-12
5,8,20,1,20,25,330,Day4 (12.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day4__12_6_25_.csv,2025-06-12
6,8,2,1,2,37,9,Day4 (12.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day4__12_6_25_.csv,2025-06-12
7,8,0,1,0,NA,0,Day4 (12.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day4__12_6_25_.csv,2025-06-12
8,8,10,1,10,8,176,Day4 (12.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day4__12_6_25_.csv,2025-06-12
9,4,12,1,12,16,389,Day4 (12.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day4__12_6_25_.csv,2025-06-12
10,4,18,1,18,7,335,Day4 (12.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day4__12_6_25_.csv,2025-06-12
11,8,20,1,20,12,585,Day4 (12.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day4__12_6_25_.csv,2025-06-12
12,8,2,1,2,38,10,Day4 (12.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day4__12_6_25_.csv,2025-06-12
13,8,20,1,20,49,452,Day4 (12.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day4__12_6_25_.csv,2025-06-12
14,4,2,1,2,12,10,Day4 (12.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day4__12_6_25_.csv,2025-06-12
15,4,20,1,20,5,605,Day4 (12.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day4__12_6_25_.csv,2025-06-12
16,8,2,1,2,19,39,Day4 (12.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day4__12_6_25_.csv,2025-06-12
17,8,20,1,20,12,646,Day4 (12.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day4__12_6_25_.csv,2025-06-12
18,3,1,1,1,13,0,Day4 (12.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day4__12_6_25_.csv,2025-06-12
19,3,11,1,11,5,337,Day4 (12.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day4__12_6_25_.csv,2025-06-12
20,8,12,1,12,9,784,Day4 (12.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day4__12_6_25_.csv,2025-06-12
21,5,13,1,13,8,514,Day4 (12.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day4__12_6_25_.csv,2025-06-12
22,4,0,1,0,NA,0,Day4 (12.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day4__12_6_25_.csv,2025-06-12
23,4,20,1,20,8,820,Day4 (12.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day4__12_6_25_.csv,2025-06-12
24,8,14,1,14,104,1301,Day4 (12.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day4__12_6_25_.csv,2025-06-12
0,4,18,1,18,5,689,Day5 (16.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
1,4,0,1,0,NA,0,Day5 (16.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
2,4,1,1,1,9,0,Day5 (16.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
3,4,10,1,10,35,140,Day5 (16.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
4,8,4,1,4,30,197,Day5 (16.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
5,8,18,1,18,8,566,Day5 (16.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
6,4,5,1,5,5,100,Day5 (16.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
7,4,2,1,2,12,11,Day5 (16.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
8,4,4,1,4,48,218,Day5 (16.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
9,4,0,1,0,NA,0,Day5 (16.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
10,4,4,1,4,31,207,Day5 (16.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
11,8,7,1,7,11,70,Day5 (16.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
12,8,0,1,0,NA,0,Day5 (16.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
13,8,1,1,1,20,0,Day5 (16.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
14,8,0,1,0,NA,0,Day5 (16.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
15,8,3,1,3,15,77,Day5 (16.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
16,8,10,1,10,9,323,Day5 (16.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
17,8,11,1,11,11,170,Day5 (16.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
18,4,0,1,0,NA,0,Day5 (16.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
19,4,2,1,2,4,6,Day5 (16.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
20,4,2,1,2,43,4,Day5 (16.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
21,5,3,1,3,49,35,Day5 (16.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
22,4,2,1,2,6,7,Day5 (16.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
23,4,5,1,5,7,123,Day5 (16.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day5__16_6_25_.csv,2025-06-16
